file,unix_ts,local_dt,local_tm,column,original_value,recovered_value,method,source_hour_unix_ts,source_samples,confidence,notes
energy_hourly.csv,1514332800,2017-12-26,16:00:00,utility,,450,utility_main_model_partial_ihd_check,1514329200,414,medium-high,Partial-IHD cross-check=440 Wh from 414 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514336400,2017-12-26,17:00:00,utility,,470,ihd_hourly_mean_round10,1514332800,450,high,Main-model cross-check=480 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514340000,2017-12-26,18:00:00,utility,,340,ihd_hourly_mean_round10,1514336400,450,high,Main-model cross-check=340 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514343600,2017-12-26,19:00:00,utility,,370,ihd_hourly_mean_round10,1514340000,450,high,Main-model cross-check=370 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514347200,2017-12-26,20:00:00,utility,,360,ihd_hourly_mean_round10,1514343600,450,high,Main-model cross-check=370 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514350800,2017-12-26,21:00:00,utility,,600,ihd_hourly_mean_round10,1514347200,450,high,Main-model cross-check=600 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514354400,2017-12-26,22:00:00,utility,,410,ihd_hourly_mean_round10,1514350800,450,high,Main-model cross-check=410 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514358000,2017-12-26,23:00:00,utility,,400,ihd_hourly_mean_round10,1514354400,450,high,Main-model cross-check=400 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514361600,2017-12-27,00:00:00,utility,,220,ihd_hourly_mean_round10,1514358000,450,high,Main-model cross-check=220 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514365200,2017-12-27,01:00:00,utility,,160,ihd_hourly_mean_round10,1514361600,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514368800,2017-12-27,02:00:00,utility,,160,ihd_hourly_mean_round10,1514365200,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514372400,2017-12-27,03:00:00,utility,,150,ihd_hourly_mean_round10,1514368800,450,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514376000,2017-12-27,04:00:00,utility,,150,ihd_hourly_mean_round10,1514372400,450,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514379600,2017-12-27,05:00:00,utility,,150,ihd_hourly_mean_round10,1514376000,449,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514383200,2017-12-27,06:00:00,utility,,150,ihd_hourly_mean_round10,1514379600,450,high,Main-model cross-check=160 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514386800,2017-12-27,07:00:00,utility,,580,ihd_hourly_mean_round10,1514383200,450,high,Main-model cross-check=580 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514390400,2017-12-27,08:00:00,utility,,460,ihd_hourly_mean_round10,1514386800,450,high,Main-model cross-check=460 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514394000,2017-12-27,09:00:00,utility,,420,ihd_hourly_mean_round10,1514390400,450,high,Main-model cross-check=420 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514397600,2017-12-27,10:00:00,utility,,570,ihd_hourly_mean_round10,1514394000,450,high,Main-model cross-check=570 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514401200,2017-12-27,11:00:00,utility,,580,ihd_hourly_mean_round10,1514397600,450,high,Main-model cross-check=570 Wh; delta=10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514404800,2017-12-27,12:00:00,utility,,520,ihd_hourly_mean_round10,1514401200,450,high,Main-model cross-check=530 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514408400,2017-12-27,13:00:00,utility,,540,ihd_hourly_mean_round10,1514404800,449,high,Main-model cross-check=540 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514412000,2017-12-27,14:00:00,utility,,390,ihd_hourly_mean_round10,1514408400,449,high,Main-model cross-check=390 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514415600,2017-12-27,15:00:00,utility,,300,ihd_hourly_mean_round10,1514412000,450,high,Main-model cross-check=300 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514419200,2017-12-27,16:00:00,utility,,330,ihd_hourly_mean_round10,1514415600,450,high,Main-model cross-check=330 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514422800,2017-12-27,17:00:00,utility,,410,ihd_hourly_mean_round10,1514419200,450,high,Main-model cross-check=410 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514426400,2017-12-27,18:00:00,utility,,370,ihd_hourly_mean_round10,1514422800,450,high,Main-model cross-check=380 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514430000,2017-12-27,19:00:00,utility,,390,ihd_hourly_mean_round10,1514426400,450,high,Main-model cross-check=390 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514433600,2017-12-27,20:00:00,utility,,340,ihd_hourly_mean_round10,1514430000,450,high,Main-model cross-check=340 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514437200,2017-12-27,21:00:00,utility,,450,ihd_hourly_mean_round10,1514433600,450,high,Main-model cross-check=460 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514440800,2017-12-27,22:00:00,utility,,580,ihd_hourly_mean_round10,1514437200,450,high,Main-model cross-check=580 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
